gc fini
État du tas:
Bloc à l'adresse 0x55975a44d050: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d068: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d080: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d098: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d0b0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d0c8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d0e0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d0f8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d110: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d128: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d140: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d158: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d170: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d188: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d1a0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d1b8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d1d0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d1e8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d200: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d218: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d230: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d248: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d260: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d278: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d290: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d2a8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d2c0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d2d8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d2f0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d308: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d320: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d338: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d350: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d368: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d380: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d398: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d3b0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d3c8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d3e0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d3f8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d410: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d428: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d440: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d458: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d470: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d488: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d4a0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d4b8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d4d0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d4e8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d500: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d518: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d530: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44d548: Taille: 2, Tag: 2, Couleur: Noir
